time,seconds_elapsed,z,y,x,,z,y,x,,,t,z,y,x
1.68301E+18,1.561399658,-0.253899992,-0.232299998,-1.474099994,,1.332599998,-0.277500004,9.711699486,,,77,1.078700006,-0.509800002,8.237599492
1.68301E+18,1.581399658,-0.240699992,-0.063599996,-1.58099997,,1.339100003,-0.279500008,9.710700035,,,78,1.098400012,-0.343100004,8.129700065
1.68301E+18,1.601399658,-0.520399988,0.073600002,-1.460999966,,1.353999972,-0.289299995,9.708399773,,,79,0.833599985,-0.215699993,8.247399807
1.68301E+18,1.621399658,-0.649699986,0.288800001,-1.663599968,,1.375399947,-0.298599988,9.70510006,,,80,0.725699961,-0.009799987,8.041500092
1.68301E+18,1.641399658,-0.714299977,0.269800007,-2.030900002,,1.41049993,-0.308999985,9.699699402,,,81,0.696199954,-0.039199978,7.6687994
1.68301E+18,1.661401367,-0.539699972,0.031199999,-1.939299941,,1.432099938,-0.315599978,9.696299553,,,82,0.892399967,-0.284399979,7.756999612
1.68301E+18,1.681399658,-0.299499989,-0.329699993,-1.802599907,,1.42719996,-0.317499995,9.69699955,,,83,1.127699971,-0.647199988,7.894399643
1.68301E+18,1.701399658,-0.23179999,-0.316899985,-1.618899941,,1.408599973,-0.3204,9.69960022,,,84,1.176799983,-0.637299985,8.080700278
1.68301E+18,1.721399658,-0.201499999,0.0056,-0.767699957,,1.388099909,-0.348800004,9.701600075,,,85,1.18659991,-0.343200004,8.933900118
1.68301E+18,1.741401367,-0.695199966,0.382099986,-0.493399978,,1.371799946,-0.40169999,9.701899529,,,86,0.676599979,-0.019600004,9.208499551
1.68301E+18,1.761399658,-0.775399983,0.451599985,-0.621699989,,1.353999972,-0.441799998,9.702599525,,,87,0.578599989,0.009799987,9.080899537
1.68301E+18,1.781399658,-0.306999981,0.408099979,-0.173099995,,1.326900005,-0.466899991,9.705200195,,,88,1.019900024,-0.058800012,9.532100201
1.68301E+18,1.801399658,0.574599981,0.226399988,0.932299972,,1.298299909,-0.4912,9.707799911,,,89,1.87289989,-0.264800012,10.64009988
