time,seconds_elapsed,z,y,x,,z,y,x,,t,z,y,x
1.68301E+18,1.081399658,-0.0112,0.053999998,0.045599997,,1.648899913,0.279399991,9.662899971,,53,1.637699913,0.333399989,9.708499968
1.68301E+18,1.101399658,0.487599999,-0.176799998,1.133899927,,1.650099993,0.265100002,9.663099289,,54,2.137699991,0.088300005,10.79699922
1.68301E+18,1.121399658,0.602599978,-0.345699996,2.217399836,,1.623399973,0.247599989,9.668099403,,55,2.225999951,-0.098100007,11.88549924
1.68301E+18,1.141399658,0.621199965,-0.515799999,3.119499922,,1.565599918,0.231399998,9.677999496,,56,2.186799884,-0.284400001,12.79749942
1.68301E+18,1.161399658,0.807899952,-0.579100013,3.668599844,,1.506399989,0.206499994,9.687999725,,57,2.314299941,-0.372600019,13.35659957
1.68301E+18,1.181399658,1.31099999,-0.693899989,3.546799898,,1.483799934,0.174199998,9.692099571,,58,2.794799924,-0.519699991,13.23889947
1.68301E+18,1.201399658,1.508299947,-0.923999965,2.949499846,,1.492399931,0.149299994,9.691199303,,59,3.000699878,-0.774699971,12.64069915
1.68301E+18,1.221399658,1.452999949,-1.168499947,2.388099909,,1.479099989,0.128999993,9.693599701,,60,2.932099938,-1.039499953,12.08169961
1.68301E+18,1.241399658,1.227499962,-1.263199925,2.148000002,,1.449599981,0.096199997,9.698399544,,61,2.677099943,-1.166999929,11.84639955
1.68301E+18,1.261399658,1.012799978,-0.894199967,2.172499895,,1.419199944,0.041099999,9.703299522,,62,2.431999922,-0.853099968,11.87579942
1.68301E+18,1.281399658,0.575599968,-0.57069999,2.199899912,,1.405300021,-0.0471,9.705299377,,63,1.98089999,-0.61779999,11.90519929
1.68301E+18,1.301399658,-0.192000002,-0.588999987,1.933499932,,1.388399959,-0.136600003,9.706899643,,64,1.196399957,-0.725599989,11.64039958
1.68301E+18,1.321399658,-0.620899975,-0.699099958,1.145599961,,1.356400013,-0.202999994,9.710199356,,65,0.735500038,-0.902099952,10.85579932
1.68301E+18,1.341399658,-0.709699988,-0.913100004,0.013499999,,1.317699909,-0.243999988,9.714599609,,66,0.607999921,-1.157099992,9.728099609
1.68301E+18,1.361399658,-0.505199969,-0.703799963,-0.796000004,,1.270099998,-0.27669999,9.720099449,,67,0.764900029,-0.980499953,8.924099445
1.68301E+18,1.381399658,-0.292999983,-0.411300004,-1.035699964,,1.224599957,-0.324099988,9.724399567,,68,0.931599975,-0.735399991,8.688699603
1.68301E+18,1.401399658,0.048799999,-0.104999997,-0.836199999,,1.157299995,-0.375399977,9.730799675,,69,1.206099994,-0.480399974,8.894599676
1.68301E+18,1.421399658,0.363499999,0.015299999,-0.570100009,,1.068099976,-0.417400002,9.739299774,,70,1.431599975,-0.402100003,9.169199765
1.68301E+18,1.441399658,0.462599993,-0.021499999,-0.864299953,,0.969099998,-0.429499984,9.749099731,,71,1.431699991,-0.450999983,8.884799778
1.68301E+18,1.461399658,0.545099974,-0.254399985,-1.235700011,,0.886599958,-0.412299991,9.757699966,,72,1.431699932,-0.666699976,8.521999955
1.68301E+18,1.481399658,0.77579999,-0.294400007,-1.183300018,,0.822600007,-0.39199999,9.764200211,,73,1.598399997,-0.686399996,8.580900192
1.68301E+18,1.501399658,0.932299972,-0.0361,-0.826299965,,0.754399955,-0.385499984,9.769899368,,74,1.686699927,-0.421599984,8.943599403
1.68301E+18,1.521399658,0.693099976,0.235399991,-0.478399992,,0.679699957,-0.39229998,9.775099754,,75,1.372799933,-0.156899989,9.296699762
1.68301E+18,1.541399658,0.320199996,0.477699995,-1.041599989,,0.611400008,-0.399299979,9.779399872,,76,0.931600004,0.078400016,8.737799883
1.68301E+18,1.561399658,0.13499999,0.53670001,-1.5625,,0.600399971,-0.389599979,9.780399323,,77,0.735399961,0.147100031,8.217899323
1.68301E+18,1.581399658,0.092099994,0.638700008,-1.622099996,,0.603999972,-0.364099979,9.781199455,,78,0.696099967,0.274600029,8.15909946
1.68301E+18,1.601399658,0.076899998,0.774199963,-1.288499951,,0.619199991,-0.342700005,9.781000137,,79,0.696099989,0.431499958,8.492500186
1.68301E+18,1.621399658,-0.068899997,0.728299975,-1.149600029,,0.657299995,-0.316399992,9.779399872,,80,0.588399999,0.411899984,8.629799843
1.68301E+18,1.641399658,0.077399999,0.467099994,-1.235000014,,0.716799974,-0.270999998,9.776599884,,81,0.794199973,0.196099997,8.54159987
1.68301E+18,1.661399658,0.384299994,0.190799996,-0.702499986,,0.772799969,-0.220199987,9.773599625,,82,1.157099962,-0.029399991,9.071099639
1.68301E+18,1.681399658,0.704599977,0.071499996,-0.0232,,0.815299988,-0.179299995,9.770999908,,83,1.519899964,-0.107799999,9.747799909
1.68301E+18,1.701399658,0.781199992,0.034699999,0.733199954,,0.836799979,-0.152400002,9.769599915,,84,1.617999971,-0.117700003,10.50279987
1.68301E+18,1.721399658,0.574299991,0.065399997,0.82129997,,0.837799966,-0.13409999,9.769800186,,85,1.412099957,-0.068699993,10.59110016
1.68301E+18,1.741399658,0.420399994,0.217399999,0.115499996,,0.844599962,-0.109499998,9.769499779,,86,1.264999956,0.107900001,9.884999774
1.68301E+18,1.761399658,0.379399985,0.288599998,-0.18599999,,0.875699997,-0.082599998,9.76709938,,87,1.255099982,0.206,9.581099391
1.68301E+18,1.781399658,0.212699994,0.262899995,-0.45629999,,0.924799979,-0.047199998,9.762800217,,88,1.137499973,0.215699997,9.306500226
1.68301E+18,1.801399658,0.177599996,0.246699989,-0.314699978,,0.969699979,-0.011299999,9.758500099,,89,1.147299975,0.235399989,9.443800122
1.68301E+18,1.821399658,0.230399996,0.342700005,0.343799978,,0.985499978,0.02,9.756899834,,90,1.215899974,0.362700004,10.10069981
1.68301E+18,1.841399658,-0.0244,0.324699998,0.089999996,,0.995199978,0.057699997,9.755799294,,91,0.970799979,0.382399995,9.84579929
1.68301E+18,1.861399658,-0.150399998,0.1118,0.005,,1.023199916,0.1039,9.75249958,,92,0.872799918,0.215700001,9.75749958
1.68301E+18,1.881399658,0.195199996,-0.243499994,0.979299963,,1.050099969,0.145400003,9.749099731,,93,1.245299965,-0.098099992,10.72839969
1.68301E+18,1.901399658,0.600199997,-0.724299967,2.011199951,,1.066799998,0.175099999,9.746799469,,94,1.666999996,-0.549199969,11.75799942
1.68301E+18,1.921399658,0.718100011,-0.941100001,2.365700006,,1.076399922,0.195799991,9.745399475,,95,1.794499934,-0.74530001,12.11109948
1.68301E+18,1.941399658,0.462300003,-1.039399981,2.325899839,,1.067399979,0.215700001,9.745900154,,96,1.529699981,-0.823699981,12.07179999
1.68301E+18,1.961399658,-0.0524,-1.074699998,1.835399985,,1.0625,0.231299996,9.746099472,,97,1.0101,-0.843400002,11.58149946
1.68301E+18,1.981399658,-0.347199976,-1.114899993,1.454399943,,1.072899938,0.2421,9.744699478,,98,0.725699961,-0.872799993,11.19909942
1.68301E+18,2.001399658,-0.271299988,-1.00819993,1.495000005,,1.085199952,0.243199989,9.743299484,,99,0.813899964,-0.764999941,11.23829949
1.68301E+18,2.021399658,-0.497099996,-0.965299964,1.436100006,,1.085500002,0.239599988,9.74339962,,100,0.588400006,-0.725699976,11.17949963
1.68301E+18,2.041399658,-0.650200009,-1.06340003,1.532699943,,1.07190001,0.239599988,9.74489975,,101,0.421700001,-0.823800042,11.27759969
1.68301E+18,2.061399658,-0.402899981,-1.24119997,2.236399889,,1.050099969,0.240999997,9.747200012,,102,0.647199988,-1.000199974,11.9835999
1.68301E+18,2.081399658,-0.054299999,-1.152199984,2.518899918,,1.03489995,0.230299994,9.749099731,,103,0.980599951,-0.921899989,12.26799965
1.68301E+18,2.101399658,0.0392,-0.881099999,1.999300003,,1.039499998,0.21419999,9.748999596,,104,1.078699999,-0.666900009,11.7482996
1.68301E+18,2.121402832,-0.064099997,-0.669099987,0.638700008,,1.064399958,0.208099991,9.746399879,,105,1.00029996,-0.460999995,10.38509989
1.68301E+18,2.141399658,-0.077799998,-0.635299981,-0.483999997,,1.107499957,0.213699996,9.741499901,,106,1.029699959,-0.421599984,9.257499903
1.68301E+18,2.161399658,-0.126599997,-0.593199968,-1.32159996,,1.156299949,0.220599994,9.735699654,,107,1.029699951,-0.372599974,8.414099693
1.68301E+18,2.181399658,-0.276600003,-0.507699966,-1.219799995,,1.188599944,0.213499993,9.731999397,,108,0.911999941,-0.294199973,8.512199402
1.68301E+18,2.201399658,-0.371399999,-0.243399993,-0.738999963,,1.195199966,0.184499994,9.731699944,,109,0.823799968,-0.058899999,8.992699981
1.68301E+18,2.221399658,-0.412299991,-0.040999997,-0.309199989,,1.187099934,0.148900002,9.733300209,,110,0.774799943,0.107900005,9.42410022
1.68301E+18,2.241399658,-0.354000002,0.0328,0.266599983,,1.167999983,0.114199996,9.736100197,,111,0.813999981,0.146999996,10.00270018
1.68301E+18,2.261401123,-0.1875,0.125799999,0.225899994,,1.158299923,0.0898,9.737500191,,112,0.970799923,0.215599999,9.963400185
1.68301E+18,2.281399658,-0.021299999,0.068099998,-0.0757,,1.17839992,0.078899994,9.735199928,,113,1.157099921,0.146999992,9.659499928
1.68301E+18,2.301399658,0.185599998,0.0035,-0.502499998,,1.216699958,0.074900001,9.730500221,,114,1.402299955,0.078400001,9.228000224
1.68301E+18,2.321399658,0.324000001,0.024799999,-1.23179996,,1.264599919,0.082899995,9.724399567,,115,1.58859992,0.107699994,8.492599607
1.68301E+18,2.341399658,0.153499991,0.067199998,-1.657499909,,1.307600021,0.089599997,9.718599319,,116,1.461100012,0.156799994,8.06109941
1.68301E+18,2.361399658,-0.239999995,0.174099997,-1.996599913,,1.33829999,0.090599999,9.714399338,,117,1.098299995,0.264699996,7.717799425
